project_name,country_region,sector,grant_amount,implementing_entity,executing_entity,approval_date,duration,status,transferred_amount,start_date,expected_completion_date,locations,revised_completion_date,completion_date,project_id,grant_amount_clean,duration_clean
"Transforming Communities: A Nexus of Climate-Smart Agriculture, Livelihood Diversification, and Women’s Economic Empowerment",Ethiopia/Africa,Multi-sector,"USD 9,999,328",Ministry of Finance and Economic Cooperation of the Federal Democratic Republic of Ethiopia,"Ministry of Water and Energy,Ministry of Agriculture",10/10/2025,3 years,Proposal Approved,,,,,,,,9999328,3.0
Sustainable Pasture Management and Adaptation with Resilient Technologies for Herders in Mongolia (SMART-Herders),Mongolia/Asia-Pacific,Agriculture,"USD 2,038,883",International Fund Agricultural Dev,Office of the President (Government of Mongolia) United Nations Industrial Development Organization (UNIDO),04/11/2025,4 years,Proposal Approved,"USD 852,494",,,,,,,2038883,4.0
Improving adaptive capacity of vulnerable and food-insecure populations in Lesotho Phase II (IACoV-2),Lesotho/Africa,Food Security,"USD 10,000,000",UN World Food Programme,"Ministry of Environment and Forestry,Ministry of Agriculture, Food Security and Nutrition",04/11/2025,5 years,Proposal Approved,"USD 2,928,280",,,,,,,10000000,5.0
Building Climate Resilient Cities and Communities in the Republic of Azerbaijan,Azerbaijan/Eastern Europe,Multi-sector,"USD 10,000,000",UN-Habitat,United Nations Human Settlements Programme (UN-Habitat); United Nations Environment Programme (UNEP); and International Organization for Migration (IOM),10/11/2024,4 years,Proposal Approved,"USD 2,747,627",,,,,,,10000000,4.0
Green and Resilient Ecosystems for Somali Livelihoods (Hal-abuur),Somalia/Africa,Multi-sector,"USD 10,000,000",International Fund Agricultural Dev,Sadar Development and Resilience Institute,04/11/2025,6 years,Proposal Approved,"USD 967,702",,,,,,,10000000,6.0
Climate Change Resilience and Ecosystem Connectivity (CC-REC),Lebanon/Asia-Pacific,Multi-sector,"USD 4,300,000",International Fund Agricultural Dev,Al-Shouf Cedar Society (ACS),04/11/2025,4 years,Proposal Approved,,,,,,,,4300000,4.0
Strengthening the Adaptive Capacity of Coastal Communities of Cuba and Panama to Climate Change through the Binational Exchange of Best Practices for Climate Management and Local Food Security,Regional/Other,Food Security,"USD 14,000,000",International Fund Agricultural Dev,"Regional: United Nations Food and Agriculture Organization (FAO),Cuba: Environment Agency of the Ministry of Science, Technology and Environment – CITMA (AMA),Panama: Ministry of Environment (MiAmbiente)",04/11/2025,5 years,Proposal Approved,"USD 3,676,968",,,,,,,14000000,5.0
Resilient Food Systems through Climate Services for Agriculture in Uzbekistan,Uzbekistan/Asia-Pacific,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Ecology, Environmental Protection and Climate Change of the Republic of Uzbekistan",04/11/2025,5 years,Proposal Approved,"USD 2,157,700",,,,,,,10000000,5.0
Increasing Climate Change Resilience in the Agricultural sector of Bosnia and Herzegovina – Staza,Bosnia and Herzegovina/Eastern Europe,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Agriculture, Water Management and Forestry (MAWMF) in the Federation of Bosnia and Herzegovina ,Ministry of Agriculture Forestry and Water Management (MAFWM) of the Republika Srpska",04/11/2025,5 years,Proposal Approved,"USD 1,554,131",,,,,,,10000000,5.0
Enhancing Resilience of Communities to Climate Change in Shirak Marz Leveraging Best Practices of the Pilot Project Implemented in Artik Community,Armenia/Eastern Europe,Multi-sector,"USD 4,472,630",Environmental Project Implementation Unit,Environmental Project Implementation Unit State Agency,10/10/2025,4 years,Proposal Approved,,,,,,,,4472630,4.0
Enhancing the Land-based Adaptation of Communities Adjacent to Arid Zones and Forest Protected areas of Armenia by Duplicating and Expanding the Successful Mechanisms of the Previous Projects,Armenia/Eastern Europe,Forests,"USD 4,097,546",Environmental Project Implementation Unit,"Environmental Project Implementation Unit State Agency,""Dilijan National Park” SNCO,""Khosrov Forest State Reserve"" SNCO",10/10/2025,4 years,Proposal Approved,,,,,,,,4097546,4.0
Increasing socio-ecological resilience in the Uruguayan coastal zone and strengthening the adaptive capacity of its infrastructure: REACC COSTAS,Uruguay/Latin America & Caribbean,Coastal management,"USD 10,000,000",Development Bank of Latin America,"CND, Corporación Nacional para el Desarrollo.",04/19/2024,4 years,Proposal Approved,"USD 4,611,830",,,,,,,10000000,4.0
Constructing Resilience Together to Face Climate Change and Variability in Western Honduras,Honduras/Latin America & Caribbean,Multi-sector,"USD 4,000,000",Comisión Acción Social Menonita (CASM) of Honduras,"CIAT – International Center for Tropical Agriculture, Oficina de Coordinación de Proyectos (OCPSERNA)",04/10/2025,4 years,Proposal Approved,"USD 1,200,000",,,,,,,4000000,4.0
Sustainable Actions for Ecosystems Restoration in Pakistan (SAFER Pakistan),Pakistan/Asia-Pacific,Multi-sector,"USD 10,000,000",International Center for Integrated Mountain Development,"United Nations Children’s Fund (UNICEF) Pakistan,ICIMOD,United Nations Entity for Gender Equality & the Empowerment of Women (UN Women) Pakistan",10/11/2024,3 years,Proposal Approved,"USD 2,581,990",,,,,,,10000000,3.0
"Green, Resilient, and Adaptive CHT Economy (GRACE)-LoCALplus",Bangladesh/Asia-Pacific,Multi-sector,"USD 10,000,000",International Center for Integrated Mountain Development,"Ministry of Environment, Forests and Climate Change of Bangladesh (MoEFCC),Ministry of Local Government, Rural Development and Cooperatives of Bangladesh,Ministry of Chattogram Hill Tracts Affairs (MoCHTA) ,The Hill Tracts Development Board,The Hill District Councils,United Nations Capital Development Fund (UNCDF),Government Technical Departments/Local NGOs (TBD),ICIMOD",04/11/2025,4 years,Proposal Approved,"USD 1,500,000",,,,,,,10000000,4.0
"Implementing Protection Technologies to Foster the Resilience of Aquaculture in the Regions of Huanuco, Junin, and Puno to Strengthen Food Security in the Context of Extreme Events Associated with Climate Change",Peru/Latin America & Caribbean,Food Security,"USD 5,361,666",Development Bank of Latin America,"Ministry of Production of Peru (PRODUCE) (Technical Executing Entity),Instituto Interamericano de Cooperación para la Agricultura (IICA) (Administrative Executing Entity)",10/13/2023,4 years,Proposal Approved,,,,,,,,5361666,4.0
Increasing Climate Resilience Through Small-Scale Infrastructure Investments and Enhancing Adaptive Capacity of Vulnerable Communities in Kampot and Koh Kong Provinces in Cambodia,Cambodia/Asia-Pacific,Multi-sector,"USD 10,000,000",UN-Habitat,"National level Ministry of Environment National Council for Sustainable Development,Local level Provincial Department of Environment, Kampot and Koh Kong Kampot and Koh Kong Provincial Administrations,Community level Selected NGO(s) Community Based Organisations and citizen/women groups in target communities",04/19/2024,4 years,Project Under Implementation,"USD 928,177",09/26/2024,09/26/2028,,,,,10000000,4.0
Enhancing the Resilience of Vulnerable Small Island Communities to Climate Change Hazards (ENRICH),Grenada/Latin America & Caribbean,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Economic Development, Planning, Tourism, ICT, Creative Economy, Culture, Agriculture, and Lands, Forestry, Marine Resources and Fisheries and & Cooperatives of Grenada",10/10/2025,5 years,Proposal Approved,,,,,,,,10000000,5.0
Resilient Coastal Fisheries and Aquaculture in Nauru,Nauru/Asia-Pacific,Food Security,"USD 7,999,493",The Pacific Community,"Government of Nauru,Pacific Community (SPC)",03/24/2023,6 years,Proposal Approved,"USD 837,939",,,,,,,7999493,6.0
Strengthening the Adaptive Capacity of Coastal Communities of Fiji to Climate Change through Nature-Based Seawalls,Fiji/Asia-Pacific,Coastal management,"USD 5,707,100",The Pacific Community,Ministry of Agriculture and Waterways (MoAW),04/19/2024,5.5 years,Proposal Approved,"USD 330,150",,,,,,,5707100,5.5
